,a股市值(不含限售股),主营产品名称,"净资产收益率roe(加权,公布值)",城市,市净率(pb),市盈率(pe),归属于母公司所有者的净利润,总市值,总股本,所属同花顺行业,新股上市日期,流通a股,股票代码,股票简称,营业收入,资产负债率,销售毛利率
2632,4041796689.26,重型包装产品||第三方采购||标签||轻型包装产品||瓦楞包装||电子通讯||高端包装||消费电子||智能包装||纸箱||精品盒||重型包装产品和电子功能材料模切产品||重型瓦楞包装产品||重型复合包装产品||轻型瓦楞包装产品||彩印产品||缓冲垫片减震泡棉||粘贴胶带||保护膜||防尘网布||导电绝缘膜||轻型瓦楞包装产品和精品盒||重型瓦楞包装||重型复合包装||蛋白类产品||其他||精品包装产品||缓冲垫片||减震泡棉,5.71,深圳市,1.4151,18.4547,218736676.43,6400933003.3,1531323685.0,轻工制造-包装印刷-包装,20091103,966937007.0,002303.SZ,美盈森,3000229407.46,37.3421,27.2037
2633,7273216529.37,磁条||热敏磁票||信息防伪材料||电子功能材料||精细化工材料||电磁波防护膜||压力测试膜||橡胶稳定剂||抗氧化剂||汽车内饰件||汽车外饰件||发动机轻量化部件||汽车塑料零部件模具||射孔器材||完井工具||机电控制类产品||军品||耐候功能材料||智能座舱部件||射孔枪及零部件||油气井用起爆器||工业导爆索||工业电雷管||聚能射孔弹||聚能切割弹||复合射孔器||其他油气井用爆破器材||起爆装置||多级电射孔点火头||桥塞坐封工具点火头||过线器||多级选发模块||多级选发控制仪||采油工具||线性切割装药||磁记录—磁条||热敏记录材料—热敏磁票||汽车内饰膜||电磁波屏蔽膜||感光干膜||橡塑助剂||其他,11.68,保定市,2.9048,18.9715,535884931.4,16460134861.17,845410111.0,汽车-汽车零部件-车身附件及饰件,20150423,373560171.0,300446.SZ,航天智造,6706511086.26,44.9155,18.9448
2634,99724310488.8,红酒||洋河大曲||白酒||老酒||基酒||苏酒||保健酒||洋河蓝色经典||双沟珍宝坊||双沟大曲||海之蓝||珍宝坊||贵酒||星得斯红酒||中高档酒||普通酒,8.06,宿迁市,2.0535,18.8163,8578711547.57,99726663898.8,1506445074.0,食品饮料-白酒-白酒Ⅲ,20091106,1506409524.0,002304.SZ,洋河股份,18090155654.57,18.2216,71.1047
2635,6414090268.9,自由锻件||风电主轴||下脚料||受托加工||锻造产品业务||铸造产品业务||1.5mw至6mw风电主轴||1.5mw至8mw风电主轴||其他精密轴||锻造主轴||轴瓦||其他铸件,4.94,济南市,1.3428,20.795,149104414.9,8457956079.16,320134598.0,电力设备-风电设备-风电零部件,20150422,242774045.0,300443.SZ,金雷股份,2118966050.82,9.694,24.6321
2636,4335258190.0,出租和物业管理费||物业管理||南湖都会||南国soho||房地产||出租||物业销售||物业||家装||物业出租和物业管理||物管出租||酒店运营及其他||房地产销售||物业出租||物业出租及物业管理,,武汉市,-1.4154,-2.4821,-234594174.68,4335539425.0,1734215770.0,房地产-房地产-商业地产,20091106,1734103276.0,002305.SZ,*ST南置,1013850330.86,110.0621,-35.3202
2637,1595282047.52,环保设备||餐饮||饮食服务||环保||网络||租赁||餐饮团膳业务||互联网游戏推广及运营||北京湘鄂情餐饮管理有限公司||郑州湘鄂情餐饮管理有限公司||北京湘鄂情饮食服务有限公司||《百龙霸业》||《王者国度》||《帝王荣耀》||《天姬变》||房屋租赁||新能源光伏业务,,海淀区,-44.7136,-63.4303,-38582565.47,1704734500.0,869762500.0,社会服务-旅游及酒店-餐饮,20091111,813919412.0,002306.SZ,*ST云网,200550947.95,91.0934,7.7994
2638,5928601508.46,及以下环网柜||箱式变电站||柱上开关||高低压成套开关柜||配网自动化监控系统及其它配电自动化产品||40.5kv||40.5kv及以下环网柜||110kv及以下各类变压器||配网自动化监控系统||配电自动化产品||变压器||其他输配电产品||安装工程||技术咨询服务||光伏设备||六氟化硫充气式环网柜||油浸式电力变压器||新型综合控制箱||电能质量治理及监控设备||售电业务||发电业务||电池隔膜||全系列低压开关柜||电能质量治理等产品||110kv及以下全系列变压器||预装及箱式变电站,7.35,海淀区,4.2785,45.6846,116253194.83,7618883358.6,798625090.0,电力设备-电网设备-输变电设备,20150423,621446699.0,300444.SZ,双杰电气,3309345049.19,78.1591,17.8549
2639,2926152796.62,硬盘录像卡||监控摄像机||定制化行业监控系统||硬盘录像机(dvr)||视频监控||硬盘录像机（DVR）||数字化高清设备||嵌入式数字硬盘录像机||网络硬盘录像机||前端采集设备监控摄像机||视频监控系统||监控设备||监控系统||hd-sdi高清||ip高清||模拟||后端存储设备（嵌入式数字硬盘录像机、网络硬盘录像机、模拟高清录像机等）||前端采集设备监控摄像机（hd-sdi摄像机、网络摄像机、网络球型摄像机、模拟摄像机、模拟高清摄像机等）和视频监控系统||其中视频监控系统是公司根据行业客户个性需求定制开发的行业整体解决方案||公司针对行业客户开发了视频服务器||高清解码器||智能视频分析服务器||广电||互联网数字视频媒体的监测||数字音视频分发||版权保护||解决方案||音||视频产品||数字水印业务||其他设备||智能安防解决方案||音视频解决方案||智算服务解决方案||音视频产品,-16.32,海淀区,9.4248,-40.789,-25543659.52,2926152796.62,386035989.0,计算机-计算机设备-安防设备,20150422,386035989.0,300449.SZ,汉邦高科,113560834.5,33.7217,5.8639
2640,5055891456.0,全塑力缆||钢芯铝绞线||1kv-35kv架空绝缘电缆||控制电缆||光纤电缆||市话电缆||计算机电缆||射频电缆||数据电缆||矿用电缆||橡套电缆||硅橡胶电缆||耐高温电缆||辐照交联电缆||船用电缆||预分支电缆||各类低烟无卤阻燃及耐火电缆||橡皮及塑料绝缘布电线||汽车||飞机||坦克用低压腊克线||高压点火线和尼龙护套线(军用)||铁路机车车辆用电缆||热电偶用补偿电缆||加热电缆||电源插头线||开关||插座||高压点火线||1kv-500kv交联电力电缆||装备用线||特种电缆||尼龙护套线(军用)||架空线||电力电缆||建筑用线||电线电缆||特种电缆制造||特缆||线缆||电缆||高压点火线和尼龙护套线（军用）||化工材料||铝杆材||高端阻燃耐火电线试制||其他产品||铜加工||酒店业||其他||500kv及以下交联聚乙烯绝缘电力电缆||核电站电缆||风力电缆||35～500kv||海底电力电缆||海底光电复合电缆||柔性直流海底电缆和建筑用线||装备用电缆,4.41,南平市,2.6742,44.6096,95269836.65,5056335900.0,722333700.0,电力设备-电网设备-线缆部件及其他,20091021,722270208.0,002300.SZ,太阳电缆,8941206192.33,65.9301,4.0236
2641,5485445303.72,办公设备||桌面文具||文件管理用品||办公文具||文具||办公用品||互联网saas软件及服务,4.46,深圳市,1.7549,29.437,158566060.75,5510792608.12,721307933.0,轻工制造-家居用品-文娱用品,20091021,717990223.0,002301.SZ,齐心集团,7729306342.42,64.2098,9.0469
